,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
1,BEN,2005,Moderate,0,4.676,-3.444,-1.523,-1.734,6.571,823.24,12.615,2.981356771,48441194.6,1.713164564,527.2583626,-0.8500885,4.3423732,0.4468158,-0.6539117,1.9584584,-0.0299641
2,BFA,2005,Moderate,0,6.409,-10.324,-4.89,18.105,6.15,458.187,15.327,2.981356771,45990513.7,8.661873228,527.2583626,-0.1257476,4.4212283,-0.0648551,-0.4010216,1.9799709,-0.4465201
3,BDI,2005,High,1,13.253,-4.665,-10.556,24.653,1.117,148.71,22.587,2.981356771,40010353.8,0.900000001,1081.577167,-0.9300242,3.750419,-1.524742,-1.364591,1.346115,-0.6342345
4,CMR,2005,Low,0,1.993,-2.757,3.292,-10.677,17.974,1007.39,16.798,2.981356771,818876650,2.020662307,527.2583626,-1.181337,4.0904411,-0.183143,-0.9296345,1.292113,-1.034067
5,CAF,2005,In debt distress,1,2.879,-6.235,-4.343,-6.075,1.413,356.688,11.813,2.981356771,6878445.1,0.908210515,527.2583626,-1.278493,3.435491,-1.430053,-1.340983,1.046705,-0.9943755
6,TCD,2005,High,1,4.449,1.041,-0.068,33.57,6.676,661.203,11.442,2.981356771,54594318.2,17.33253374,527.2583626,-1.506754,3.616108,-1.443999,-1.236425,0.989048,-1.307716
7,COM,2005,In debt distress,1,3.007,-3.795,0.032,21.027,0.656,1085.66,11.763,2.981356771,4032130.1,2.83754787,395.443772,-0.8848742,3.398967,-0.435432,-1.505809,1.5046498,-0.630451
8,COD,2005,In debt distress,1,21.545,-3.22,0.639,25.603,12.069,189.034,9.366,2.981356771,217647070.9,6.135151155,473.9080083,-1.418278,3.4281,-2.132514,-1.683722,0.946307,-1.521638
9,COG,2005,High,1,2.466,6.067,13.403,24.303,6.654,2058.3,35.528,2.981356771,112368096.1,7.755758978,527.2583626,-1.044834,3.729308,-1.166832,-1.314487,1.027441,-1.07914
10,CIV,2005,In debt distress,1,3.884,0.168,-1.025,4.416,23.625,1287.97,12.572,2.981356771,307109438.6,1.721247367,527.2583626,-1.240558,3.676604,-2.264047,-0.8962979,1.020427,-1.294619
11,ETH,2005,Moderate,0,11.656,-12.657,-4.122,-4.328,12.387,164.937,18.768,2.981356771,88313921.1,11.81876595,8.666441667,-0.7700803,4.0828696,-1.690749,-1.133831,1.5638786,-1.238757
12,GMB,2005,In debt distress,1,4.959,-6.283,-3.332,8.9,1.028,665.721,9.614,2.981356771,28688477.5,-2.351729362,28.57543333,-0.7058645,4.2844089,0.2021239,-0.5525596,2.1206185,-1.015846
13,GHA,2005,Moderate,0,15.095,-4.97,-2.016,1.537,24.521,1147.61,11.847,2.981356771,340493092.2,5.900003916,0.905209486,-0.3671385,4.8126182,0.1683214,-0.1254053,2.3837157,0.1974853
14,GIN,2005,In debt distress,1,31.358,-0.83,-1.074,3.764,4.506,470.57,9.934,2.981356771,173195278.5,2.997272562,3644.333333,-1.050257,3.952436,-1.156667,-1.079883,1.127999,-1.172005
15,GNB,2005,In debt distress,1,3.358,-1.635,-4.96,14.451,0.64,482.181,15.206,2.981356771,6370606.7,4.266098931,527.2583626,-1.152722,3.639372,-0.5646369,-1.11762,1.249564,-0.4844251
16,LBR,2005,In debt distress,1,6.945,2.207,-0.497,-0.422,0.949,316.487,10.999,2.981356771,1843426.4,5.281212071,57.09583333,-1.204036,3.586129,-1.361709,-1.577216,1.173488,-0.4179905
17,MDG,2005,Moderate,0,18.364,-12.531,-2.475,37.248,5.859,319.537,15.878,2.981356771,79634976.9,4.755845097,2003.025833,-0.0732841,4.6464145,-0.0215053,-0.2185342,2.1474685,-0.1237975
18,MWI,2005,Moderate,0,8.160,-13.28,-1.898,-11.38,3.656,267.785,24.21,2.981356771,76169243,3.268725828,118.42,-0.70995,4.1883242,0.1045019,-0.4705365,2.3949369,-0.5281026
19,MLI,2005,Moderate,0,6.414,-7.115,-2.764,16.796,6.251,504.44,18.87,2.981356771,100006798.6,6.534778775,527.2583626,-0.4975321,4.2940899,0.1756825,-0.5534297,2.343197,0.2479338
20,MOZ,2005,Low,0,6.428,-8.935,-2.145,11.761,8.512,405.139,15.55,2.981356771,392930418.4,6.645908281,23.060965,-0.5324818,4.4755871,0.1245581,-0.7077828,1.8834126,0.0083353
21,NER,2005,High,1,7.810,-7.106,-1.523,6.578,4.386,321.9,13.981,2.981356771,40492783.5,7.331868841,527.2583626,-0.717895,4.227543,-0.488365,-0.4114659,1.7930974,-0.2835604
22,RWA,2005,High,1,9.122,1.008,1.277,13.494,2.59,294.344,23.954,2.981356771,28239719.5,9.377899425,557.8226408,-0.6179556,4.0930876,-1.002252,-0.9752049,1.5833933,-1.194444
23,STP,2005,High,1,17.152,-20.892,26.812,1.274,0.125,809.407,70.478,2.981356771,6654194.9,7.093773747,10.55797033,-0.5369121,4.3177533,0.5757505,-0.8662047,1.968378,0.061735
24,SEN,2005,Low,0,1.707,-6.143,-0.263,2.54,11.033,994.877,18.376,2.981356771,203538582.5,5.622606856,527.2583626,-0.050289,4.7717485,-0.2044541,-0.2386367,2.5100265,0.0561978
25,SLE,2005,Moderate,0,13.702,-6.363,-1.937,1.241,1.649,292.1,16.098,2.981356771,18355670.1,4.505095672,2889.5875,-1.066617,3.658681,-0.4792502,-1.088785,1.371062,-0.5309957
26,TZA,2005,Moderate,0,4.359,-5.461,-3.276,9.512,17.174,459.751,15.038,2.981356771,133189081,7.476319258,1128.934179,-0.5973649,4.5886303,-0.5829188,-0.5023046,2.2207296,-0.3634433
27,TGO,2005,In debt distress,1,5.295,-8.94,-2.248,2.412,2.283,406.842,15.626,2.981356771,21250892,-4.666299379,527.2583626,-0.8747956,3.557986,-1.446407,-0.7914191,1.420117,-1.221733
28,UGA,2005,Moderate,0,8.602,0.395,-0.17,12.194,12.46,483.032,14.301,2.981356771,171761252.5,6.332565116,1780.540261,-0.8235874,4.4430253,-1.417637,-0.2744117,1.9191434,-0.597284
29,ZMB,2005,Low,0,18.325,-2.786,-2.372,6.293,8.332,691.785,20.079,2.981356771,283934369.8,7.235599007,4.465,-0.5917786,4.0647714,0.1050498,-0.7349188,1.9799008,-0.4303459
30,BEN,2006,Moderate,0,6.355,-3.088,-0.147,10.611,7.034,856.1,12.859,4.786447662,42023701.7,3.943738828,522.4256249,-0.5886191,4.3934112,0.5470105,-0.4275719,1.9660776,0.3627777
31,BFA,2006,Moderate,0,2.336,-8.308,14.346,6.985,6.548,473.475,36.224,4.786447662,44734442.2,6.253164688,522.4256249,-0.3099104,4.237663,0.1561723,-0.3436106,2.0689648,-0.3418339
32,BDI,2006,High,1,2.744,-21.287,-9.924,-20.639,1.273,164.575,26.55,4.786447662,19972254.5,5.413807145,1028.683553,-1.095598,3.896653,-1.427005,-1.202598,1.5295595,-0.7231436
33,CMR,2006,Low,0,4.906,0.999,30.453,-1.272,19.374,1056.32,43.949,4.786447662,749188069.1,3.457668793,522.4256249,-1.086014,4.0506039,-0.2452714,-0.8483388,1.345463,-1.023898
34,CAF,2006,In debt distress,1,6.815,-2.872,8.584,0.888,1.538,381.315,21.954,4.786447662,71344027.9,4.77108543,522.4256249,-1.210749,3.495575,-1.851548,-1.260503,0.961759,-1.014794
35,TCD,2006,High,1,9.640,4.579,2.22,-4.665,7.451,712.529,16.152,4.786447662,57157254.9,0.648262014,522.4256249,-1.351849,3.515444,-1.832306,-1.102796,0.951442,-1.418421
36,COM,2006,In debt distress,1,3.389,-3.248,-1.507,6.52,0.689,1110.98,10.948,4.786447662,3756429,2.646955476,391.8192187,-0.696618,3.322652,-0.3597731,-1.489534,1.5465953,-0.2216852
37,COD,2006,In debt distress,1,12.845,0.332,1.056,-29.856,14.376,218.022,10.113,4.786447662,289648504.1,5.320979565,468.278825,-1.525243,3.380935,-2.250013,-1.314578,0.882843,-1.230791
38,COG,2006,High,1,3.706,13.87,15.957,10.243,8.073,2436.38,42.588,4.786447662,87666540.9,7.986238363,522.4256249,-1.10221,3.743937,-0.9244087,-1.212756,1.232912,-1.208369
39,CIV,2006,In debt distress,1,2.466,1.947,-1.034,1.151,24.628,1308.58,13.427,4.786447662,270053013.4,1.515842363,522.4256249,-1.198453,3.836927,-1.865294,-0.9197752,1.050901,-1.278678
40,ETH,2006,Moderate,0,13.558,-11.665,-3.788,-3.921,15.31,198.696,18.279,4.786447662,133643624.6,10.83472707,8.698615833,-0.6461358,4.3399859,-1.738937,-1.008481,1.8401635,-1.193717
41,GMB,2006,In debt distress,1,2.056,-4.296,-3.194,6.856,1.054,662.362,10.828,4.786447662,30340070.6,-0.555580977,28.065725,-0.7218639,4.3248441,-0.0343314,-0.4042953,2.1399347,-0.896951
42,GHA,2006,Moderate,0,11.683,-5.83,-3.338,10.169,28.785,1315.82,12.099,4.786447662,289000354.8,6.399912502,0.915106799,-0.0210537,5.1603275,0.008032,-0.0638116,2.5544558,0.4075934
43,GIN,2006,In debt distress,1,34.702,-3.125,-2.18,-7.38,4.178,426.419,11.035,4.786447662,173582198.7,1.164421523,5148.75,-1.115179,3.703708,-1.907449,-1.228478,1.095333,-1.227811
44,GNB,2006,In debt distress,1,1.953,-6.22,-4.574,-12.394,0.635,467.998,15.233,4.786447662,9829776.2,2.309357998,522.4256249,-1.087825,3.897604,-0.4951869,-0.9375241,1.254162,-0.6288677
45,LBR,2006,In debt distress,1,9.514,-7.288,4.162,30.629,1.119,360.524,14.634,4.786447662,2095513.5,8.043906248,58.01333333,-0.718835,3.716879,-1.32963,-1.473984,1.6124932,-0.1676431
46,MDG,2006,Moderate,0,10.766,-9.155,-3.03,-0.258,6.396,338.751,15.444,4.786447662,60699653.9,5.39850845,2142.301667,-0.1858238,4.4013172,0.1834861,-0.1742754,2.0541942,-0.1102595
47,MWI,2006,Moderate,0,8.337,-17.421,0.561,10.854,3.998,284.729,28.423,4.786447662,70387560.1,4.699999992,136.0125,-0.5493971,4.1403503,0.1192622,-0.5059555,2.2841403,-0.2523139
48,MLI,2006,Moderate,0,1.519,-3.258,27.783,-1.75,6.906,539.607,49.854,4.786447662,85514153.3,4.662186878,522.4256249,-0.4818845,4.2613406,0.4135443,-0.4555993,2.2098378,0.297409
49,MOZ,2006,Low,0,13.245,-8.12,-3.153,13.486,9.303,427.955,17.78,4.786447662,548959730.3,9.694374092,25.40077917,-0.6171736,4.3755068,0.5195007,-0.5614842,1.8883425,-0.0863831
50,NER,2006,High,1,0.040,-6.602,30.956,5.535,4.757,336.298,46.11,4.786447662,169664845.3,5.931049974,522.4256249,-0.8477663,4.2217195,-0.2274929,-0.4932139,1.909213,-0.3245527
51,RWA,2006,High,1,8.831,-4.04,-0.029,12.501,3.327,369.716,20.492,4.786447662,26768806.4,9.227077874,551.7103333,-0.2080816,4.7458991,-0.6821145,-0.6567397,1.8245797,-1.222134
52,STP,2006,High,1,23.075,-33.94,17.258,3.979,0.133,839.546,49.724,4.786447662,7055129.4,9.115642105,12.4486425,-0.2851349,4.2267794,0.3461452,-0.6446061,2.0075949,0.2721276
53,SEN,2006,Low,0,2.114,-6.107,-3.616,-13.59,11.859,1041.89,17.38,4.786447662,186358395.8,2.461570254,522.4256249,-0.3728657,4.7128197,-0.2640902,-0.3104712,2.2783978,0.0617268
54,SLE,2006,Moderate,0,10.533,-5.043,-1.552,7.067,1.884,323.259,15.082,4.786447662,24672293,4.223914279,2961.909167,-1.019453,3.889423,-0.3021837,-1.143849,1.5129572,-0.326509
55,TZA,2006,Low,0,7.251,-7.276,-3.385,-2.083,18.878,491.351,14.234,4.786447662,89138835.4,6.53222139,1251.899973,-0.2327513,4.6155571,-0.3557514,-0.3928336,2.0578642,-0.2002937
56,TGO,2006,In debt distress,1,1.082,-7.503,-2.624,-1.286,2.352,408.104,17.247,4.786447662,26752936.4,2.650132097,522.4256249,-1.039965,3.464926,-0.528969,-0.8759041,1.5573677,-1.195147
57,UGA,2006,Moderate,0,7.219,-2.176,-0.637,12.162,14.079,527.739,13.058,4.786447662,99854589.4,10.78474439,1831.451851,-0.7859881,4.4584615,-1.140198,-0.2414692,2.1734919,-0.4453833
58,ZMB,2006,Low,0,9.017,4.645,16.913,6.303,12.757,1030.28,36.604,4.786447662,144820474.9,7.903694445,3.601666667,-0.5515967,4.1475596,0.3625001,-0.6243531,1.9603749,-0.2073383
59,BEN,2007,Moderate,0,1.194,-6.546,0.222,39.916,8.17,966.317,16.031,5.223405843,36772435.2,5.986349322,478.6337185,-0.4631715,4.4673094,0.3861226,-0.4441905,1.9827572,0.368181
60,BFA,2007,Moderate,0,-0.233,-7.353,-5.015,5.56,7.627,535.126,17.824,5.223405843,42145840.7,4.111379018,478.6337185,-0.3318754,4.2465804,0.3076967,-0.2646435,2.1006216,-0.3070092
61,BDI,2007,In debt distress,1,8.412,-32.41,-2.51,21.323,1.356,170.174,36.455,5.223405843,18199197.6,3.45195249,1081.869683,-1.160764,3.73137,-1.375335,-1.244897,1.435364,-0.7140452
62,CMR,2007,Low,0,1.125,1.277,4.139,20.225,22.397,1187.89,18.523,5.223405843,486125072.4,4.902201732,478.6337185,-1.020625,4.158743,-0.3250326,-0.8477936,1.315307,-1.049566
63,CAF,2007,In debt distress,1,0.960,-6.025,1.044,5.321,1.755,427.313,13.915,5.223405843,89845392.7,4.607534855,478.6337185,-1.189861,3.462972,-1.854586,-1.293416,0.931629,-1.083287
64,TCD,2007,High,1,-7.440,8.15,2.525,-3.799,8.687,803.018,19.586,5.223405843,68608463.6,3.271499579,478.6337185,-1.383073,3.373879,-1.865933,-1.133406,0.961145,-1.451322
65,COM,2007,In debt distress,1,4.486,-2.897,-1.179,5.742,0.796,1251.86,11.884,5.223405843,26173456.5,0.800042349,358.9752889,-0.7067446,3.242416,-1.094133,-1.44984,1.488649,-0.388407
66,COD,2007,In debt distress,1,16.672,3.149,0.454,75.664,16.737,245.818,10.188,5.223405843,500821216.9,6.259477764,516.7498917,-1.357004,3.254317,-2.176482,-1.254051,0.889621,-1.211481
67,COG,2007,High,1,2.595,-24,8.986,-16.14,8.784,2586.3,37.568,5.223405843,108369388,-6.613994804,478.6337185,-1.146641,3.677734,-0.77008,-1.203904,1.264742,-1.233997
68,CIV,2007,In debt distress,1,1.896,-0.494,-0.389,-11.148,28.158,1458.24,14.454,5.223405843,431263472.7,1.765036784,478.6337185,-1.091263,3.790403,-1.838058,-0.8458249,1.044949,-1.20209
69,ETH,2007,Moderate,0,17.245,-4.284,-3.567,17.183,19.329,244.495,16.954,5.223405843,126908778.7,11.456167,8.96595,-0.6287453,4.5615431,-1.803412,-0.9442089,1.8511661,-1.203705
70,GMB,2007,High,1,5.370,-5.18,0.275,1.69,1.28,780.379,11.469,5.223405843,33934169.6,3.043249508,24.87343333,-0.728481,4.4256753,0.0477552,-0.3740375,2.1875106,-0.891591
71,GHA,2007,Moderate,0,10.729,-6.357,-5.278,6.06,33.942,1516.07,12.765,5.223405843,234871044.8,4.346819164,0.932619195,0.0390468,5.1288427,-0.0717858,-0.048031,2.535718,0.4973204
72,GIN,2007,In debt distress,1,22.861,-7.298,1.263,0.143,6.317,628.711,9.937,5.223405843,175570184.5,6.827474427,4197.752004,-1.279774,3.752041,-2.400169,-1.229044,1.055286,-1.368684
73,GNB,2007,In debt distress,1,4.627,-4.072,-8.774,17.776,0.753,543.408,14.915,5.223405843,10555941.6,3.262955456,478.6337185,-1.19099,3.918241,-0.4599775,-1.090201,1.186147,-0.7123835
74,LBR,2007,In debt distress,1,11.391,-4.247,2.24,-0.22,1.373,424.942,18.029,5.223405843,643115505.8,9.535279869,61.27222222,-0.4577956,3.785395,-1.243969,-1.196742,1.6102784,-0.1427099
75,MDG,2007,Low,0,10.288,-11.493,-2.308,8.863,8.525,438.655,13.779,5.223405843,34604670.4,5.710564197,1873.876667,-0.1902263,4.5355316,0.0896575,-0.210702,2.1163926,-0.1390652
76,MWI,2007,Moderate,0,8.516,-8.223,-2.841,44.601,4.431,306.9,28.259,5.223405843,33671317.6,9.600000003,139.9575,-0.514421,4.4630846,0.0824758,-0.4459907,2.3444452,-0.2619393
77,MLI,2007,Low,0,1.456,-5.563,-2.784,-6.056,8.157,616.723,18.705,5.223405843,64239581.1,3.493616813,478.6337185,-0.425326,4.2489144,0.2309478,-0.358832,2.3169901,0.2253906
78,MOZ,2007,Low,0,8.161,-7.463,-2.272,-4.415,10.534,471.128,19.427,5.223405843,1159188562,7.729746242,25.84034145,-0.5154082,4.4871909,0.3576092,-0.5535753,1.9021773,-0.0817874
79,NER,2007,Moderate,0,0.054,-6.136,-0.745,2.7,5.732,390.329,16.605,5.223405843,30587688.3,3.142724084,478.6337185,-0.7518947,4.2239342,-0.4584392,-0.5021631,1.9014568,-0.3680814
80,RWA,2007,High,1,9.081,-2.044,-1.55,25.475,4.082,443.725,20.788,5.223405843,23588335.5,7.633281208,546.955,-0.0012737,4.8049439,-0.3583081,-0.6372008,1.922875,-1.246036
81,STP,2007,Moderate,0,18.550,84.849,125.135,14.991,0.145,885.101,164.054,5.223405843,6472097.1,3.253605149,13.536755,-0.3041009,4.2945958,0.393939,-0.7458607,2.065534,0.1911356
82,SEN,2007,Low,0,5.863,-9.344,-2.737,25.299,14.307,1224.13,18.953,5.223405843,190168049.5,4.938485083,478.6337185,-0.5078148,4.5256464,-0.2438859,-0.353941,2.2604589,-0.1817141
83,SLE,2007,Moderate,0,16.970,-7.418,20.09,-5.081,2.159,360.425,33.043,5.223405843,10673176.4,8.058145152,2985.185833,-0.9119571,3.846923,-0.0608303,-1.070928,1.5116718,-0.2184993
84,TZA,2007,Low,0,7.028,-8.391,-1.444,-0.413,21.811,551.879,16.401,5.223405843,72825052.7,6.768535202,1245.035464,-0.3374165,4.6033066,-0.3856436,-0.41469,2.1270633,-0.1424699
85,TGO,2007,In debt distress,1,0.433,-8.114,-2.588,0.707,2.663,449.791,16.75,5.223405843,15449575.1,-1.175120389,478.6337185,-0.9900438,3.466913,-0.3408129,-0.9354221,1.5768278,-1.067694
86,UGA,2007,Low,0,6.090,-3.15,-0.815,20.703,17.512,634.361,12.417,5.223405843,66620884.9,8.412425966,1723.491587,-0.8213381,4.5676824,-0.9151093,-0.2207041,2.1404127,-0.4860639
87,ZMB,2007,Low,0,10.655,-1.238,-1.037,3.096,14.057,1103.45,18.886,5.223405843,124749303.5,8.352436244,4.001666667,-0.4050106,4.2758886,0.3634163,-0.4928786,1.9747609,-0.2069852
88,BEN,2008,Moderate,0,6.767,-5.499,-0.041,1.302,9.787,1125.3,14.509,3.082411335,30136093.5,4.896577084,446.0000414,-0.5033103,4.5376319,0.3745913,-0.4972941,1.9660892,0.3446475
89,BFA,2008,High,1,10.668,-10.232,-3.627,9.003,9.45,643.334,14.963,3.082411335,41836080.7,5.799991741,446.0000414,-0.3048229,4.5102022,0.120163,-0.1939826,2.1551186,-0.2834808
90,BDI,2008,In debt distress,1,24.407,-9.821,-2.704,16.101,1.612,195.79,38.458,3.082411335,19630496.3,4.861712995,1185.690833,-1.090768,3.872951,-1.638164,-1.243566,1.476867,-0.6852906
91,CMR,2008,Low,0,5.338,-1.703,2.09,-4.454,26.514,1367.9,18.722,3.082411335,437898436,3.488800919,446.0000414,-1.022167,4.1941795,-0.5508961,-0.8271499,1.400142,-1.067796
92,CAF,2008,High,1,9.259,-9.71,-1.231,-12.378,2.033,485.807,14.796,3.082411335,26956856.8,2.054130962,446.0000414,-1.115491,3.625589,-1.842395,-1.206067,1.085214,-0.9880777
93,TCD,2008,High,1,8.333,3.552,3.614,-9.179,10.43,932.601,22.409,3.082411335,137290536.1,3.052691532,446.0000414,-1.522943,3.423347,-1.966756,-1.175087,0.883302,-1.445907
94,COM,2008,In debt distress,1,4.816,-6.059,-1.464,-3.103,0.916,1403.8,13.664,3.082411335,12367449.3,3.999971991,334.5000311,-0.7902945,3.224463,-1.107348,-1.494797,1.467032,-0.2873705
95,COD,2008,In debt distress,1,17.966,-0.766,-0.477,11.029,19.709,280.395,11.194,3.082411335,592150074.6,6.225894269,559.2925083,-1.244319,3.334546,-2.005968,-1.296066,0.940679,-1.387891
96,COG,2008,High,1,6.020,7.462,23.897,-5.584,11.649,3346.18,48.063,3.082411335,167418074,6.306375956,446.0000414,-1.175675,3.779446,-0.7200658,-1.267693,1.304606,-1.155456
97,CIV,2008,In debt distress,1,6.315,1.349,-0.21,-4.608,33.621,1697.05,14.38,3.082411335,1048013371,2.542841476,446.0000414,-1.107821,3.756996,-1.806674,-0.9032416,1.078469,-1.16756
98,ETH,2008,Moderate,0,44.371,-6.879,-2.882,5.428,26.25,326.82,15.874,3.082411335,103472657.5,10.78852169,9.599741667,-0.664217,4.6032671,-1.730085,-0.8601215,1.8029047,-1.307213
99,GMB,2008,High,1,4.451,-7.563,-0.454,-3.96,1.562,924.514,11.097,3.082411335,17112888,6.255905534,22.19235,-0.7382274,4.27565,0.0651153,-0.4031689,2.0868801,-0.8655047
100,GHA,2008,Moderate,0,16.505,-8.852,-5.944,8.291,38.414,1677.39,11.845,3.082411335,231063663.9,9.149798975,1.052275,-0.0705424,5.0327254,-0.0276288,-0.0368968,2.4319816,0.4318844
101,GIN,2008,In debt distress,1,18.367,-6.582,0.374,20.685,6.966,675.387,10.459,3.082411335,155879834.4,4.136616153,4601.691004,-1.20396,3.82917,-2.098021,-1.212222,0.970805,-1.426304
102,GNB,2008,In debt distress,1,10.445,-3.024,-0.735,0.981,0.953,672.251,21.02,3.082411335,9794647.9,3.203567307,446.0000414,-1.180871,3.958342,-0.709056,-1.198117,1.114324,-0.7153731
103,LBR,2008,In debt distress,1,17.490,-29.289,-2.658,0.353,1.726,512.351,18.767,3.082411335,934692875.9,7.145688998,63.2075,-0.7375427,3.71633,-1.285086,-1.341423,1.408867,-0.1849382
104,MDG,2008,Low,0,9.297,-15.915,-1.723,32.531,10.725,536.352,13.988,3.082411335,39397050.1,6.71263895,1708.370833,-0.2661915,4.3501902,-0.4700531,-0.3250708,2.0503244,-0.3261529
105,MWI,2008,Moderate,0,8.716,-15.099,-3.692,7.147,5.321,358.416,28.075,3.082411335,32032278.8,7.639736774,140.5216667,-0.4456559,4.454371,-0.0621808,-0.483631,2.3895652,-0.2466548
106,MLI,2008,Low,0,9.121,-13.588,-1.977,-4.709,9.837,719.334,16.899,3.082411335,69119090.8,4.773145081,446.0000414,-0.5290691,4.2262978,0.2103665,-0.4054857,2.1790708,0.202511
107,MOZ,2008,Low,0,14.503,-9.076,-1.947,13.533,12.64,549.706,19.931,3.082411335,604880264.2,7.317755324,24.30064247,-0.4920207,4.4886468,0.3815113,-0.4501007,1.893061,-0.0727424
